hostname,worker_id,start_time,stop_time,task_type,return_code
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774932.4957657,1686774933.3514383,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774932.5150743,1686774933.391131,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774932.4941912,1686774933.4114518,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774932.493952,1686774933.505094,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774932.493761,1686774933.7512386,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774932.4943047,1686774933.8725383,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774932.509696,1686774934.0002825,0,2
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774933.352577,1686774934.2494938,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774933.3929205,1686774934.3909729,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774933.4138935,1686774934.4362705,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774932.5073056,1686774934.5009797,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774933.7519913,1686774934.7246068,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774933.8745615,1686774935.114381,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774934.2505066,1686774935.333141,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774934.5017529,1686774935.3779705,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774934.4372146,1686774935.6161368,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774935.617054,1686774936.58625,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774934.7257404,1686774936.5914142,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774934.0013087,1686774936.7162342,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774935.3342648,1686774937.0759048,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774934.3935099,1686774937.3794177,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774936.592389,1686774937.488053,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774936.5874553,1686774937.558516,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774933.5057943,1686774937.8104036,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774937.079717,1686774938.0122266,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774936.7169697,1686774938.0826068,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774937.3829386,1686774938.227817,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774935.379925,1686774938.2917867,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774937.5595832,1686774938.6051302,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774937.488916,1686774938.6094956,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774935.115722,1686774938.8711348,0,3
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774937.8111732,1686774938.93045,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774938.0836155,1686774939.046394,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774938.292605,1686774939.1011226,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774938.2285674,1686774939.4572446,0,2
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774938.6060748,1686774939.6030133,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774938.6104903,1686774939.6414275,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774938.0130851,1686774939.6883976,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774938.9311306,1686774939.7555077,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774939.102072,1686774939.810522,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774939.0473945,1686774940.3829308,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774938.872969,1686774940.5495086,0,2
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774939.6037004,1686774940.6319997,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774939.756233,1686774940.7333548,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774939.6891267,1686774940.7676616,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774939.8114069,1686774940.7886536,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774939.4581385,1686774940.931736,0,2
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774939.6423514,1686774941.3042612,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774940.6328542,1686774941.4238856,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774940.3851705,1686774941.562542,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774940.7341695,1686774941.5873964,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774940.7893906,1686774941.6621332,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774940.9324403,1686774941.749831,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774941.3052382,1686774941.9810874,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774940.7684,1686774942.1765594,0,2
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774941.662986,1686774942.4914892,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774941.424848,1686774942.6425974,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774940.550188,1686774942.70358,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774941.5880346,1686774942.777138,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774941.5634243,1686774942.8830516,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774941.9818847,1686774942.893475,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774942.1774573,1686774943.1530638,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774941.7505465,1686774943.3035643,0,2
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774942.7043765,1686774943.5594656,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774942.7779584,1686774943.6433825,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774942.6436024,1686774943.7987506,0,1
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774942.8848534,1686774943.8912148,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774942.89439,1686774943.9359732,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774943.3043332,1686774944.1983109,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774943.6441774,1686774944.4317954,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774942.4923847,1686774944.6487617,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774943.153818,1686774944.9691455,0,2
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774943.7995338,1686774945.0048676,0,1
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774944.1991782,1686774945.16509,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774943.9370496,1686774945.7033482,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774944.6496131,1686774945.9304872,1,0
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774943.5603664,1686774946.1869872,0,2
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774945.1660664,1686774946.1997478,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774945.0056055,1686774946.2422779,1,0
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774944.9703221,1686774946.254414,1,0
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774943.8932288,1686774946.4800384,0,2
normandy,Worker-4ec75f34-2296-432a-8602-bb6eccade9c2,1686774944.4327447,1686774946.8947685,0,1
normandy,Worker-5ac20509-75a4-4bb4-b216-b4814c9bb8ef,1686774945.7041225,1686774946.9974673,1,0
normandy,Worker-c1e71f26-ef10-4b84-9a6e-8a17196892b9,1686774946.1878338,1686774947.1072917,0,1
normandy,Worker-5a79c655-5d52-43f1-a223-99d2b129a747,1686774945.931378,1686774947.2087443,1,0
